Marca Puntos
2:40.64;1000
2:40.74;999
2:40.84;998
2:40.89;997
2:40.94;996
2:41.04;995
2:41.14;994
2:41.24;993
2:41.29;992
2:41.34;991
2:41.44;990
2:41.54;989
2:41.64;988
2:41.69;987
2:41.74;986
2:41.84;985
2:41.94;984
2:42.04;983
2:42.14;982
2:42.24;981
2:42.34;980
2:42.44;979
2:42.54;978
2:42.64;977
2:42.74;976
2:42.84;975
2:42.94;974
2:43.04;973
2:43.09;972
2:43.14;971
2:43.24;970
2:43.34;969
2:43.44;968
2:43.49;967
2:43.54;966
2:43.64;965
2:43.74;964
2:43.84;963
2:43.89;962
2:43.94;961
2:44.04;960
2:44.14;959
2:44.24;958
2:44.34;957
2:44.44;956
2:44.54;955
2:44.64;954
2:44.74;953
2:44.84;952
2:44.94;951
2:45.04;950
2:45.14;949
2:45.24;948
2:45.29;947
2:45.34;946
2:45.44;945
2:45.54;944
2:45.64;943
2:45.69;942
2:45.74;941
2:45.84;940
2:45.94;939
2:46.04;938
2:46.09;937
2:46.14;936
2:46.24;935
2:46.34;934
2:46.44;933
2:46.54;932
2:46.64;931
2:46.74;930
2:46.84;929
2:46.94;928
2:47.04;927
2:47.14;926
2:47.24;925
2:47.34;924
2:47.44;923
2:47.49;922
2:47.54;921
2:47.64;920
2:47.74;919
2:47.84;918
2:47.89;917
2:47.94;916
2:48.04;915
2:48.14;914
2:48.24;913
2:48.29;912
2:48.34;911
2:48.44;910
2:48.54;909
2:48.64;908
2:48.74;907
2:48.84;906
2:48.94;905
2:49.04;904
2:49.14;903
2:49.24;902
2:49.34;901
2:49.44;900
2:49.49;899
2:49.54;898
2:49.64;897
2:49.74;896
2:49.84;895
2:49.94;894
2:50.04;893
2:50.14;892
2:50.24;891
2:50.34;890
2:50.44;889
2:50.54;888
2:50.64;887
2:50.69;886
2:50.74;885
2:50.84;884
2:50.94;883
2:51.04;882
2:51.14;881
2:51.24;880
2:51.34;879
2:51.44;878
2:51.54;877
2:51.64;876
2:51.74;875
2:51.79;874
2:51.84;873
2:51.94;872
2:52.04;871
2:52.14;870
2:52.24;869
2:52.34;868
2:52.44;867
2:52.54;866
2:52.64;865
2:52.74;864
2:52.84;863
2:52.94;862
2:52.99;861
2:53.04;860
2:53.14;859
2:53.24;858
2:53.34;857
2:53.44;856
2:53.54;855
2:53.64;854
2:53.74;853
2:53.84;852
2:53.94;851
2:54.04;850
2:54.14;849
2:54.19;848
2:54.24;847
2:54.34;846
2:54.44;845
2:54.54;844
2:54.64;843
2:54.74;842
2:54.84;841
2:54.94;840
2:55.04;839
2:55.14;838
2:55.24;837
2:55.34;836
2:55.44;835
2:55.49;834
2:55.54;833
2:55.64;832
2:55.74;831
2:55.84;830
2:55.94;829
2:56.04;828
2:56.14;827
2:56.24;826
2:56.34;825
2:56.44;824
2:56.54;823
2:56.59;822
2:56.64;821
2:56.74;820
2:56.84;819
2:56.94;818
2:57.04;817
2:57.14;816
2:57.24;815
2:57.34;814
2:57.44;813
2:57.54;812
2:57.59;811
2:57.64;810
2:57.74;809
2:57.84;808
2:57.94;807
2:58.04;806
2:58.14;805
2:58.24;804
2:58.34;803
2:58.44;802
2:58.54;801
2:58.59;800
2:58.64;799
2:58.74;798
2:58.84;797
2:58.94;796
2:59.04;795
2:59.14;794
2:59.24;793
2:59.34;792
2:59.44;791
2:59.54;790
2:59.64;789
2:59.74;788
2:59.84;787
2:59.94;786
3:00.04;785
3:00.14;784
3:00.24;783
3:00.34;782
3:00.44;781
3:00.54;780
3:00.64;779
3:00.74;778
3:00.84;777
3:00.94;776
3:01.04;775
3:01.14;774
3:01.24;773
3:01.29;772
3:01.34;771
3:01.44;770
3:01.54;769
3:01.64;768
3:01.74;767
3:01.84;766
3:01.94;765
3:02.04;764
3:02.14;763
3:02.24;762
3:02.34;761
