Marca;Puntos
14:26.00;445
14:26.67;444
14:27.33;443
14:28.00;442
14:28.67;441
14:29.33;440
14:30.00;439
14:30.67;438
14:31.33;437
14:32.00;436
14:32.67;435
14:33.33;434
14:34.00;433
14:34.67;432
14:35.33;431
14:36.00;430
14:37.33;429
14:38.00;428
14:38.67;427
14:39.33;426
14:40.00;425
14:40.67;424
14:41.33;423
14:42.00;422
14:42.67;421
14:43.33;420
14:44.00;419
14:44.67;418
14:45.33;417
14:46.00;416
14:46.67;415
14:47.33;414
14:48.67;413
14:49.33;412
14:50.00;411
14:50.67;410
14:51.33;409
14:52.00;408
14:52.67;407
14:53.33;406
14:54.00;405
14:54.67;404
14:55.33;403
14:56.00;402
14:57.33;401
14:58.00;400
14:58.67;399
14:59.33;398
15:00.00;397
15:00.67;396
15:01.33;395
15:02.00;394
15:02.67;393
15:03.33;392
15:04.67;391
15:05.33;390
15:06.00;389
15:06.67;388
15:07.33;387
15:08.00;386
15:08.67;385
15:09.33;384
15:10.00;383
15:10.67;382
15:12.00;381
15:12.67;380
15:13.33;379
15:14.00;378
15:14.67;377
15:15.33;376
15:16.00;375
15:16.67;374
15:18.00;373
15:18.67;372
15:19.33;371
15:20.00;370
15:20.67;369
15:21.33;368
15:22.00;367
15:23.33;366
15:24.00;365
15:24.67;364
15:25.33;363
15:26.00;362
15:26.67;361
15:27.33;360
15:28.67;359
15:29.33;358
15:30.00;357
15:30.67;356
15:31.33;355
15:32.00;354
15:33.33;353
15:34.00;352
15:34.67;351
15:35.33;350
15:36.00;349
15:36.67;348
15:38.00;347
15:38.67;346
15:39.33;345
15:40.00;344
15:40.67;343
15:41.33;342
15:42.67;341
15:43.33;340
15:44.00;339
15:44.67;338
15:45.33;337
15:46.67;336
15:47.33;335
15:48.00;334
15:48.67;333
15:49.33;332
15:50.00;331
15:51.33;330
15:52.00;329
15:52.67;328
15:53.33;327
15:54.00;326
15:55.33;325
15:56.00;324
15:56.67;323
15:57.33;322
15:58.67;321
15:59.33;320
16:00.00;319
16:00.67;318
16:01.33;317
16:02.67;316
16:03.33;315
16:04.00;314
16:04.67;313
16:06.00;312
16:06.67;311
16:07.33;310
16:08.00;309
16:09.33;308
16:10.00;307
16:10.67;306
16:11.33;305
16:12.67;304
16:13.33;303
16:14.00;302
16:14.67;301
16:15.00;300
16:16.67;299
16:17.33;298
16:18.00;297
16:19.00;295
16:19.33;296
16:20.67;294
16:21.33;293
16:22.67;292
16:23.00;290
16:23.33;291
16:25.33;289
16:26.00;288
16:26.67;287
16:27.33;286
